,code,sri_score,country,fragile_state_score,year,population,sdg_index_score,1no_poverty,2no_hunger,3health_wellbeing,4quality_education,5gender_equality,6cleanwater_sanitation,7affordable_clean_energy,8work_economy_growth,9industry_innov_infrast,10reduced_inequalities,11cities_communities,12consumption_production,13climate,14life_below_water,15life_on_land,16peace_justice_stroninstitutions,17partnership_for_goals,tourism_score_x,global_score,global_rank,tourism_score_y,global_score_2,global_rank_2
164,GIN,38.625,Guinea,17.14285714285715,2020.0,13041586.0,53.5,57.1,57.8,31.6,30.5,28.1,51.7,27.7,66.3,12.5,91.8,45.4,96.5,98.4,57.8,67.6,38.1,51.2,53.38571428571428,36.42261904761905,165,46.7952380952381,34.18769841269842,167
165,HTI,39.99999999999999,Haiti,17.05882352941176,2020.0,11234508.0,51.6,43.7,51.3,40.3,69.0,41.5,54.3,22.6,58.4,23.1,47.3,39.7,94.0,98.9,65.0,43.3,40.7,43.9,47.185714285714276,36.219607843137254,166,45.74761904761905,34.2688141923436,166
166,GNQ,40.125,Equatorial Guinea,30.168067226890763,,,,,,,,,,,,,,,,,,,,,,35.146533613445385,167,,35.146533613445385,164
167,GNB,43.25,Guinea-Bissau,24.117647058823533,,,,,,,,,,,,,,,,,,,,,,33.68382352941177,168,,33.68382352941177,168
168,SLB,,Solomon Islands,33.27731092436974,,,,,,,,,,,,,,,,,,,,,,33.27731092436974,169,,33.27731092436974,170
169,SYR,33.0,Syria,9.747899159663861,2020.0,20486043.0,56.3,,33.2,61.4,62.9,33.8,62.9,61.8,69.6,23.2,63.0,39.7,91.9,96.4,50.0,56.3,46.9,48.0,59.300000000000004,33.01596638655462,170,61.28163265306123,34.67651060424169,165
170,SSD,29.25,,,2020.0,10545441.0,36.7,0.0,19.6,23.9,1.2,53.7,41.0,11.4,50.2,1.4,26.6,13.8,91.0,99.4,,74.7,39.8,39.7,32.385714285714286,32.975,171,32.10068027210884,30.67534013605442,173
171,COD,36.62499999999999,Democratic Republic of the Congo,10.672268907563028,2020.0,91331950.0,48.4,3.7,51.5,36.4,40.9,43.0,43.2,28.9,60.1,14.1,43.0,41.4,97.7,99.6,77.9,69.4,34.9,37.2,46.214285714285715,31.89908963585434,172,43.74081632653061,30.346028411364546,174
172,SDN,35.875,Sudan,10.840336134453786,2020.0,43828068.0,48.6,34.0,21.6,52.3,31.8,42.4,32.6,55.1,43.8,15.3,75.0,34.8,97.3,99.2,61.7,49.3,45.5,35.6,53.642857142857146,31.771778711484597,173,49.814965986394554,32.176767373616116,171
173,AFG,34.375,Afghanistan,11.848739495798315,2020.0,38326027.0,47.3,27.9,46.0,37.6,42.0,30.2,50.4,35.9,41.1,9.8,,30.2,96.7,99.0,,73.2,45.3,44.1,42.266666666666666,31.17457983193277,174,37.993650793650794,28.072463429816366,178
