,country,units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
356,SLOVAKIA,Thousands,..,..,..,..,..,..,..,..,..,12 583,11 556,14 936,17 376,15 406,15 299,16 086,..,..,..
358,SLOVENIA,Thousands,63 013,60 230,58 274,61 293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
360,SOLOMON ISLANDS,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
362,SOMALIA,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
364,SOUTH AFRICA,Thousands,6 815,7 518,8 509,9 208,9 729,9 532,11 303,12 097,13 069,14 318,14 530,13 952,15 121,14 975,15 004,14 797,3 887,2 664,7 342
366,SOUTH SUDAN,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
368,SPAIN,Thousands,85 981,92 563,96 152,98 907,97 670,91 899,93 744,99 187,98 128,103 231,107 144,109 834,115 561,121 717,124 456,126 170,36 410,51 631,104 968
370,SRI LANKA,Thousands,681,669,689,592,526,538,766,976,1 133,1 415,1 665,1 993,2 168,2 248,2 521,2 027,540,195,759
372,STATE OF PALESTINE,Thousands,..,..,..,928,1 487,1 740,2 821,2 730,3 051,2 874,2 907,2 054,2 231,3 192,3 429,4 232,1 000,..,..
374,SUDAN,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
376,SURINAME,Thousands,..,..,154,167,151,151,206,221,240,250,253,229,257,279,..,..,..,..,..
378,SWEDEN,Thousands,..,..,..,..,..,..,..,19 405,20 011,18 803,19 945,..,..,..,..,..,..,..,..
380,SWITZERLAND,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
382,SYRIAN ARAB REPUBLIC,Thousands,6 334,5 859,5 682,5 434,6 951,7 721,10 970,6 476,..,..,..,..,1 043,1 291,1 802,2 424,479,661,..
384,TAIWAN PROVINCE OF CHINA,Thousands,2 950,3 378,3 520,3 716,3 845,4 395,5 567,6 087,7 311,8 016,9 910,10 440,10 690,10 740,11 067,11 864,1 378,140,896
