countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
CONGO;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;199;224;259;345;229;224;213;151;158;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;31;35;46;55;62;94;194;218;256;343;226;220;211;149;156;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;5;6;3;2;3;4;2;2;2;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
CONGO, DEMOCRATIC REPUBLIC OF THE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;197;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;36;61;55;47;50;53;81;186;167;191;334;354;351;430;392;479;202;382;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;11;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
COOK ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
