countrie;del;total_arrivals;del1;del2;Units;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
;;;Overnights visitors (tourists);;Thousands;46 086;49 206;50 977;56 135;58 007;55 103;60 010;63 477;66 967;71 643;75 379;77 774;76 407;77 187;79 746;79 442;19 212;22 280;50 870
;;;Same-day visitors (excursionists);;Thousands;21 520;22 278;132 201;119 164;117 696;105 405;102 265;83 794;104 663;107 667;102 932;99 091;98 854;97 105;89 579;86 036;25 580;44 493;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
UNITED STATES VIRGIN ISLANDS;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 620;2 602;2 571;2 606;2 435;2 245;2 531;2 686;2 640;2 702;2 814;2 643;2 574;1 954;1 922;2 074;862;1 072;..
;;;Overnights visitors (tourists);;Thousands;563;594;571;587;574;563;572;567;619;590;615;642;667;535;381;514;303;685;..
;;;Same-day visitors (excursionists);;Thousands;2 057;2 009;2 000;2 019;1 861;1 682;1 959;2 119;2 021;2 111;2 199;2 001;1 906;1 419;1 541;1 560;559;388;..
;;;;of which, cruise passengers;Thousands;1 965;1 913;1 903;1 918;1 757;1 582;1 859;2 009;1 904;1 999;2 084;1 879;1 777;1 304;1 431;1 433;442;246;..
URUGUAY;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 871;1 917;1 824;1 815;2 255;2 303;2 708;3 244;3 155;3 242;3 195;3 286;3 632;4 219;3 954;3 480;..;234;..
;;;Overnights visitors (tourists);;Thousands;1 756;1 808;1 749;1 753;1 938;2 055;2 353;2 857;2 695;2 683;2 682;2 773;3 037;3 674;3 469;3 059;..;..;..
;;;Same-day visitors (excursionists);;Thousands;115;109;75;62;317;248;355;387;460;559;513;513;595;545;485;421;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;257;206;300;284;319;428;385;321;305;278;242;260;..;..;..
UZBEKISTAN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;262;242;560;903;1 069;1 215;975;1 393;1 895;1 969;1 862;1 918;2 027;2 690;5 346;6 749;1 504;1 881;5 233
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
VANUATU;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;99;126;154;167;197;226;238;249;321;357;329;287;352;333;350;256;82;..;65
;;;Overnights visitors (tourists);;Thousands;61;62;68;81;91;101;97;94;108;110;109;90;95;109;116;121;22;..;30
;;;Same-day visitors (excursionists);;Thousands;38;64;86;86;106;125;141;155;213;247;220;197;256;224;235;135;60;..;35
;;;;of which, cruise passengers;Thousands;38;64;86;86;106;125;141;155;213;247;220;197;256;224;235;135;60;..;35
VENEZUELA, BOLIVARIAN REPUBLIC OF;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;618;846;883;898;702;567;535;625;1 061;1 085;967;882;681;429;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;486;706;748;756;699;562;526;595;988;986;857;789;601;427;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;132;140;135;142;3;5;9;30;73;99;110;93;80;2;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;132;140;135;142;3;5;9;30;73;99;110;93;80;2;..;..;..;..;..
VIET NAM;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;2 928;3 477;3 583;4 229;4 236;3 747;5 050;6 014;6 848;7 572;7 874;7 944;10 013;12 922;15 498;18 009;3 837;157;3 661
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;7 201;7 488;7 555;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;263;200;224;225;152;66;50;46;..;371;386;389;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;263;200;224;225;152;66;50;46;286;193;48;170;285;259;215;264;114;..;..
YEMEN;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;1 035;1 175;1 282;1 323;1 218;398;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;274;336;1 061;948;1 023;1 028;1 025;829;874;990;1 018;367;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;10;346;408;333;200;32;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ZAMBIA;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Overnights visitors (tourists);;Thousands;515;669;757;897;812;710;815;920;859;915;947;932;956;1 009;1 072;1 266;502;554;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
ZIMBABWE;;;;;;;;;;;;;;;;;;;;;;;;
;Arrivals;;;;;;;;;;;;;;;;;;;;;;;
;;Total arrivals;;;Thousands;1 854;1 559;2 287;2 506;1 956;2 017;2 239;2 423;1 794;1 833;1 880;2 057;2 168;2 423;2 580;2 294;639;381;1 044
;;;Overnights visitors (tourists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;Same-day visitors (excursionists);;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;;;;of which, cruise passengers;Thousands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
